complaint_no,title,complaint_at,bin,owner,disposition,comments,disp_date,disp_code,disp_result,year
1725087,Overview for Complaint #:1725087 = RESOLVED,1251 AVENUE OF THE AMERICAS,1022706,UNAVAILABLE OWNER,06/23/2026 - A8 - ECB VIOLATION SERVED,"DOUBLE-KNOT RESTAURANT HAS EXPANDED ONTO THE POPS AREA WITH TABLES, CHAIRS, AND UMBRELLAS, AND PARTIALLY BLOCKING THE VIEW OF POPS SIGNAGE PLAQUE ON BUILDING WALL. AGENCY RECORDS AND PLAQUES DOES NOT LIST THESE ITEMS AS PERMISSIBLE.",2026-06-23,A8,ECB VIOLATION SERVED,2026
1724719,Overview for Complaint #:1724719 = RESOLVED,301 EAST 79 STREET,1049261,CONTINENTAL TOWERS CONDO,06/03/2026 - A8 - ECB VIOLATION SERVED,POPS SIGNAGE DOESN'T CONFORM TO DCP REGULATIONS. UPDATED APPROVED SIGN REQUIRED.,2026-06-03,A8,ECB VIOLATION SERVED,2026
1725403,Overview for Complaint #:1725403 = RESOLVED,118 EAST 60 STREET,1041902,118 E 60 OWNERS INC,05/18/2026 - A8 - ECB VIOLATION SERVED,POPS SITE REQUIRES SIGNAGE APPROVED BY DCP POSTED FOR PUBLIC AWARENESS. NO      SIGNAGE.,2026-05-18,A8,ECB VIOLATION SERVED,2026
1724808,Overview for Complaint #:1724808 = RESOLVED,422 EAST 72 STREET,1045832,OXFORD CONDO C/O B H S,05/18/2026 - A8 - ECB VIOLATION SERVED,POPS SIGNAGE IS SUBSTANTIALLY BLOCKED BY PROPERTY TREES/VEGETATION PREVENTING THE PUBLIC FROM VIEWING THE POPS SIGNAGE REQUIRED BY DCP.,2026-05-18,A8,ECB VIOLATION SERVED,2026
1725121,Overview for Complaint #:1725121 = RESOLVED,630 1 AVENUE,1022060,ANTHONY PAUL GIORGIO,05/14/2026 - A8 - ECB VIOLATION SERVED,"POPS SITE, FAILURE TO COMPLY WITH DCP REQUIRED AMENITIES AND ZONING RESOLUTION. WATER FOUNTAIN NOT OPERABLE AS PART OF REQUIRED AMENITIES LISTED ON PLAQUE AND IN AGENCY RECORDS.",2026-05-14,A8,ECB VIOLATION SERVED,2026
1724921,Overview for Complaint #:1724921 = RESOLVED,475 PARK AVENUE SOUTH,1018471,475 PARK AVENUE SOUTH,05/12/2026 - A8 - ECB VIOLATION SERVED,"POS SITE REQUIRES DCP REGULATED SIGNAGE ADVISING THE PUBLIC THAT IT IS OPEN, AMENITIES, CONTACT INFORMATION TO FILE COMPLAINTS, ADA SYMBOLS. NO SIGNAGE AT SITE.",2026-05-12,A8,ECB VIOLATION SERVED,2026
1724410,Overview for Complaint #:1724410 = RESOLVED,560 LEXINGTON AVENUE,1036451,560 LEXCO LLC,05/12/2026 - A8 - ECB VIOLATION SERVED,"AS PER DCP AGENCY RECORDS, 8 MOVABLE CHAIRS ARE TO BE PROVIDED AT POPS SITE. AT TIME OF INSPECTION, 8 CHAIRS NOT PROVIDED.",2026-05-12,A8,ECB VIOLATION SERVED,2026
1708464,Overview for Complaint #:1708464 = RESOLVED,10 WEST 66 STREET,1028163,10 WEST 66TH STREET CORPORATIO,11/12/2025 - A8 - ECB VIOLATION SERVED,"POPS COMPLIANCE, PLAQUE  NOT EVIDENT AT TIME OF INSPECTION.",2025-11-12,A8,ECB VIOLATION SERVED,2025
1708462,Overview for Complaint #:1708462 = RESOLVED,130 WEST 67 STREET,1028847,TOULAINE OWNERS CORP,11/12/2025 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION, POPS PLAQUE NOT EVIDENT AT SITE",2025-11-12,A8,ECB VIOLATION SERVED,2025
1704739,Overview for Complaint #:1704739 = RESOLVED,45 BROADWAY,1000804,45 BROADWAY LLC,10/14/2025 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION, TRINITY PLACE SIDE ESCALATOR IS INOPERABLE. MANAGEMENT STATED THAT THEY ARE AWARE AND ARE WAITING FOR ESCALATOR PARTS FOR REPAIR.",2025-10-14,A8,ECB VIOLATION SERVED,2025
1704284,Overview for Complaint #:1704284 = RESOLVED,180 MAIDEN LANE,1000874,MAIDEN GLASS LLC,09/15/2025 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION OBSERVED DCP UNAPPROVED INSTALLATIONS AT POPS SITE. MOVING PARTITION WALLS, HANGING CEILING TO FLOOR CURTAINS FOR EXHIBITS, TEMPORARY ENCLOSURES, SUPER STRUT BRACKETS BOLTED TO CEILING TO SUPPORT A SPEAKER EXHIBIT, UNAUTHORIZED LOW VOLTAGE SYSTEM BOLTED TO WALLS WITH CABLE. POPS NON-COMPLIANT WITH DCP RECORDS.",2025-09-15,A8,ECB VIOLATION SERVED,2025
